0	1	2	3	4	M
ALL	2	1	ALL	0	14659
ALL	2	1	ALL	1	15819
ALL	2	1	ALL	2	14128
ALL	2	1	ALL	ALL	44606
ALL	2	2	0	0	6417
ALL	2	2	0	1	9260
ALL	2	2	0	2	7763
ALL	2	2	0	ALL	23440
ALL	2	2	1	0	4732
ALL	2	2	1	1	4811
ALL	2	2	1	2	6393
ALL	2	2	1	ALL	15936
ALL	2	2	2	0	4080
ALL	2	2	2	1	3614
ALL	2	2	2	2	5585
ALL	2	2	2	ALL	13279
ALL	2	2	ALL	0	15229
ALL	2	2	ALL	1	17685
ALL	2	2	ALL	2	19741
ALL	2	2	ALL	ALL	52655
ALL	2	ALL	0	0	18016
ALL	2	ALL	0	1	19261
ALL	2	ALL	0	2	20620
ALL	2	ALL	0	ALL	57897
ALL	2	ALL	1	0	16817
ALL	2	ALL	1	1	19733
ALL	2	ALL	1	2	14466
ALL	2	ALL	1	ALL	51016
ALL	2	ALL	2	0	15744
ALL	2	ALL	2	1	12891
ALL	2	ALL	2	2	14453
ALL	2	ALL	2	ALL	43088
ALL	2	ALL	ALL	0	50577
ALL	2	ALL	ALL	1	51885
ALL	2	ALL	ALL	2	49539
ALL	2	ALL	ALL	ALL	152001
ALL	ALL	0	0	0	26034
ALL	ALL	0	0	1	19030
ALL	ALL	0	0	2	19502
ALL	ALL	0	0	ALL	64566
ALL	ALL	0	1	0	19741
ALL	ALL	0	1	1	21909
ALL	ALL	0	1	2	11377
ALL	ALL	0	1	ALL	53027
ALL	ALL	0	2	0	20030
ALL	ALL	0	2	1	17594
ALL	ALL	0	2	2	20719
ALL	ALL	0	2	ALL	58343
ALL	ALL	0	ALL	0	65805
ALL	ALL	0	ALL	1	58533
ALL	ALL	0	ALL	2	51598
ALL	ALL	0	ALL	ALL	175936
ALL	ALL	1	0	0	16013
ALL	ALL	1	0	1	17298
ALL	ALL	1	0	2	14733
ALL	ALL	1	0	ALL	48044
ALL	ALL	1	1	0	19581
ALL	ALL	1	1	1	18846
ALL	ALL	1	1	2	17262
ALL	ALL	1	1	ALL	55689
ALL	ALL	1	2	0	15522
ALL	ALL	1	2	1	16738
ALL	ALL	1	2	2	18558
ALL	ALL	1	2	ALL	50818
ALL	ALL	1	ALL	0	51116
ALL	ALL	1	ALL	1	52882
ALL	ALL	1	ALL	2	50553
ALL	ALL	1	ALL	ALL	154551
ALL	ALL	2	0	0	19395
ALL	ALL	2	0	1	21355
ALL	ALL	2	0	2	20272
ALL	ALL	2	0	ALL	61022
ALL	ALL	2	1	0	13200
ALL	ALL	2	1	1	18519
ALL	ALL	2	1	2	21880
ALL	ALL	2	1	ALL	53599
ALL	ALL	2	2	0	15002
ALL	ALL	2	2	1	18674
ALL	ALL	2	2	2	25409
ALL	ALL	2	2	ALL	59085
ALL	ALL	2	ALL	0	47597
ALL	ALL	2	ALL	1	58548
ALL	ALL	2	ALL	2	67561
ALL	ALL	2	ALL	ALL	173706
ALL	ALL	ALL	0	0	61442
ALL	ALL	ALL	0	1	57683
ALL	ALL	ALL	0	2	54507
ALL	ALL	ALL	0	ALL	173632
ALL	ALL	ALL	1	0	52522
ALL	ALL	ALL	1	1	59274
ALL	ALL	ALL	1	2	50519
ALL	ALL	ALL	1	ALL	162315
ALL	ALL	ALL	2	0	50554
ALL	ALL	ALL	2	1	53006
ALL	ALL	ALL	2	2	64686
ALL	ALL	ALL	2	ALL	168246
ALL	ALL	ALL	ALL	0	164518
ALL	ALL	ALL	ALL	1	169963
ALL	ALL	ALL	ALL	2	169712
ALL	ALL	ALL	ALL	ALL	504193
